dataset,model,perturbation,param_value,auroc_baseline,auroc_ood,delta_auroc,p_value,p_value_fdr,significant
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.521,0.9321,0.903,0.0291,0.0215,0.1110857142857143,False
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.649,0.9321,0.9273,0.0048,0.5345,0.7758870967741935,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=1 / highest_abundance,0.9321,0.9327,-0.0005,0.6138,0.8214423791821562,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=116 / highest_abundance,0.9321,0.9299,0.0022,0.816,0.9200250000000001,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=144 / highest_abundance,0.9321,0.9213,0.0108,0.3501,0.6059423076923077,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=173 / highest_abundance,0.9321,0.9106,0.0216,0.1017,0.2905714285714286,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=202 / highest_abundance,0.9321,0.9048,0.0274,0.0859,0.2631829787234043,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=231 / highest_abundance,0.9321,0.8858,0.0464,0.0148,0.08806611570247934,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=260 / highest_abundance,0.9321,0.8891,0.0431,0.0182,0.10237500000000001,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=29 / highest_abundance,0.9321,0.9337,-0.0016,0.8169,0.9200250000000001,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=58 / highest_abundance,0.9321,0.9277,0.0044,0.6034,0.8170786516853933,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=87 / highest_abundance,0.9321,0.9351,-0.0029,0.7405,0.8769078947368423,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.812,0.9321,0.9295,0.0026,0.7511,0.8822055464926591,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.848,0.9321,0.929,0.0031,0.7528,0.8827622149837133,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.883,0.9321,0.9258,0.0063,0.5937,0.8155885714285714,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.919,0.9321,0.9131,0.0191,0.1557,0.3749297658862876,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.954,0.9321,0.8831,0.049,0.012,0.07714285714285715,False
abundance_cirrhosis--stagediscovery,RF,densification,0.138,0.9325,0.7939,0.1386,0.0,0.0,True
abundance_cirrhosis--stagediscovery,RF,densification,0.266,0.9325,0.8556,0.0769,0.0006,0.010285714285714283,True
abundance_cirrhosis--stagediscovery,RF,densification,0.393,0.9325,0.8866,0.0459,0.0105,0.072,False
abundance_cirrhosis--stagediscovery,RF,densification,0.521,0.9325,0.8943,0.0382,0.0053,0.04597590361445783,True
abundance_cirrhosis--stagediscovery,RF,densification,0.649,0.9325,0.9157,0.0168,0.0477,0.18665217391304348,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=1 / highest_abundance,0.9325,0.9295,0.003,0.6326,0.8272839059674503,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=116 / highest_abundance,0.9325,0.9276,0.0049,0.5478,0.7856892430278883,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=144 / highest_abundance,0.9325,0.915,0.0175,0.1654,0.3891764705882353,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=173 / highest_abundance,0.9325,0.9122,0.0203,0.098,0.2865425101214575,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=202 / highest_abundance,0.9325,0.9167,0.0159,0.2306,0.48306976744186053,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=231 / highest_abundance,0.9325,0.9091,0.0234,0.1035,0.29454545454545455,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=260 / highest_abundance,0.9325,0.8996,0.0329,0.051,0.19657142857142856,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=29 / highest_abundance,0.9325,0.9357,-0.0032,0.7393,0.8769078947368423,False
