dataset,model,perturbation,param_value,auroc_baseline,auroc_ood,delta_auroc,p_value,p_value_fdr,significant
abundance_WT2D,XGBoost,remove_features,k=22 / highest_abundance,0.6863,0.7468,-0.0606,0.0963,0.29886206896551726,False
abundance_WT2D,XGBoost,remove_features,k=43 / highest_abundance,0.6863,0.7495,-0.0632,0.1394,0.37036162361623615,False
abundance_WT2D,XGBoost,remove_features,k=64 / highest_abundance,0.6863,0.7652,-0.079,0.0664,0.2385671641791045,False
abundance_WT2D,XGBoost,remove_features,k=85 / highest_abundance,0.6863,0.7661,-0.0799,0.0833,0.2708108108108108,False
abundance_WT2D,XGBoost,sparsity,0.787,0.6863,0.7341,-0.0478,0.1979,0.445275,False
abundance_WT2D,XGBoost,sparsity,0.827,0.6863,0.731,-0.0448,0.3263,0.5993954659949622,False
abundance_WT2D,XGBoost,sparsity,0.868,0.6863,0.6766,0.0097,0.8467,0.9297439024390243,False
abundance_WT2D,XGBoost,sparsity,0.909,0.6863,0.6678,0.0184,0.7306,0.8840873949579833,False
abundance_WT2D,XGBoost,sparsity,0.949,0.6863,0.6904,-0.0042,0.941,0.9759884892086331,False
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.138,0.9321,0.8699,0.0623,0.0004,0.010285714285714287,True
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.266,0.9321,0.91,0.0221,0.1075,0.3197387755102041,False
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.393,0.9321,0.9167,0.0154,0.1654,0.3996241610738255,False
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.521,0.9321,0.9179,0.0143,0.0919,0.2876869565217391,False
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.649,0.9321,0.9308,0.0014,0.8569,0.9340393343419061,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=1 / highest_abundance,0.9321,0.9327,-0.0005,0.6138,0.8275955056179776,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=116 / highest_abundance,0.9321,0.9299,0.0022,0.816,0.9272692913385827,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=144 / highest_abundance,0.9321,0.9213,0.0108,0.3501,0.6178235294117647,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=173 / highest_abundance,0.9321,0.9106,0.0216,0.1017,0.3063765690376569,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=202 / highest_abundance,0.9321,0.9048,0.0274,0.0859,0.2773452914798207,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=231 / highest_abundance,0.9321,0.8858,0.0464,0.0148,0.09958878504672898,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=260 / highest_abundance,0.9321,0.8891,0.0431,0.0182,0.11593220338983051,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=29 / highest_abundance,0.9321,0.9337,-0.0016,0.8169,0.9272692913385827,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=58 / highest_abundance,0.9321,0.9277,0.0044,0.6034,0.8232452830188679,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=87 / highest_abundance,0.9321,0.9351,-0.0029,0.7405,0.8856478405315616,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.812,0.9321,0.9295,0.0026,0.7511,0.8894605263157895,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.848,0.9321,0.929,0.0031,0.7528,0.8900098522167487,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.883,0.9321,0.9258,0.0063,0.5937,0.8232452830188679,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.919,0.9321,0.9131,0.0191,0.1557,0.38889965397923876,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.954,0.9321,0.8831,0.049,0.012,0.09000000000000001,False
abundance_cirrhosis--stagediscovery,RF,densification,0.138,0.9325,0.8176,0.115,0.0,0.0,True
abundance_cirrhosis--stagediscovery,RF,densification,0.266,0.9325,0.8853,0.0472,0.0057,0.05545945945945946,False
abundance_cirrhosis--stagediscovery,RF,densification,0.393,0.9325,0.8971,0.0354,0.0129,0.09237735849056604,False
abundance_cirrhosis--stagediscovery,RF,densification,0.521,0.9325,0.9057,0.0268,0.0099,0.08,False
abundance_cirrhosis--stagediscovery,RF,densification,0.649,0.9325,0.9282,0.0043,0.5556,0.8032771084337349,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=1 / highest_abundance,0.9325,0.9295,0.003,0.6326,0.8314502712477395,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=116 / highest_abundance,0.9325,0.9276,0.0049,0.5478,0.7951935483870967,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=144 / highest_abundance,0.9325,0.915,0.0175,0.1654,0.3996241610738255,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=173 / highest_abundance,0.9325,0.9122,0.0203,0.098,0.3002033898305085,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=202 / highest_abundance,0.9325,0.9167,0.0159,0.2306,0.4901946902654868,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=231 / highest_abundance,0.9325,0.9091,0.0234,0.1035,0.3105,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=260 / highest_abundance,0.9325,0.8996,0.0329,0.051,0.20786440677966103,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=29 / highest_abundance,0.9325,0.9357,-0.0032,0.7393,0.8856478405315616,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=58 / highest_abundance,0.9325,0.9308,0.0017,0.8381,0.9297439024390243,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=87 / highest_abundance,0.9325,0.9237,0.0089,0.4418,0.7046505494505494,False
abundance_cirrhosis--stagediscovery,RF,sparsity,0.812,0.9325,0.9232,0.0093,0.291,0.559296,False
abundance_cirrhosis--stagediscovery,RF,sparsity,0.848,0.9325,0.9197,0.0128,0.1783,0.4212117263843649,False
abundance_cirrhosis--stagediscovery,RF,sparsity,0.883,0.9325,0.9165,0.016,0.1392,0.37036162361623615,False
abundance_cirrhosis--stagediscovery,RF,sparsity,0.919,0.9325,0.915,0.0175,0.1683,0.40527090301003343,False
abundance_cirrhosis--stagediscovery,RF,sparsity,0.954,0.9325,0.9016,0.0309,0.0755,0.25885714285714284,False
abundance_cirrhosis--stagediscovery,TabDPT,densification,0.138,0.8799,0.4867,0.3932,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabDPT,densification,0.266,0.8799,0.4832,0.3967,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabDPT,densification,0.393,0.8799,0.5868,0.2931,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabDPT,densification,0.521,0.8799,0.5848,0.2951,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabDPT,densification,0.649,0.8799,0.6867,0.1932,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=1 / highest_abundance,0.8911,0.8918,-0.0008,0.9344,0.9750260869565218,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=116 / highest_abundance,0.8911,0.849,0.0421,0.1103,0.32282926829268294,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=144 / highest_abundance,0.8911,0.8682,0.0228,0.4041,0.6720552995391705,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=173 / highest_abundance,0.8911,0.8209,0.0701,0.0354,0.16430769230769232,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=202 / highest_abundance,0.8911,0.78,0.1111,0.0009,0.015804878048780488,True
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=231 / highest_abundance,0.8911,0.8086,0.0824,0.0209,0.12334426229508196,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=260 / highest_abundance,0.8911,0.8062,0.0848,0.0135,0.09237735849056604,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=29 / highest_abundance,0.8911,0.8776,0.0134,0.4374,0.7046505494505494,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=58 / highest_abundance,0.8911,0.8704,0.0207,0.2913,0.559296,False
abundance_cirrhosis--stagediscovery,TabDPT,remove_features,k=87 / highest_abundance,0.8911,0.8596,0.0315,0.1252,0.3535058823529412,False
abundance_cirrhosis--stagediscovery,TabDPT,sparsity,0.812,0.8799,0.8487,0.0312,0.1242,0.3520629921259843,False
abundance_cirrhosis--stagediscovery,TabDPT,sparsity,0.848,0.8799,0.8246,0.0553,0.0335,0.1608,False
abundance_cirrhosis--stagediscovery,TabDPT,sparsity,0.883,0.8799,0.8303,0.0496,0.0637,0.2385671641791045,False
abundance_cirrhosis--stagediscovery,TabDPT,sparsity,0.919,0.8799,0.8284,0.0515,0.0916,0.2876869565217391,False
abundance_cirrhosis--stagediscovery,TabDPT,sparsity,0.954,0.8799,0.837,0.0429,0.1521,0.3856056338028169,False
abundance_cirrhosis--stagediscovery,TabICL,densification,0.138,0.939,0.8315,0.1075,0.0001,0.0036000000000000003,True
abundance_cirrhosis--stagediscovery,TabICL,densification,0.266,0.939,0.8941,0.0449,0.0162,0.108,False
abundance_cirrhosis--stagediscovery,TabICL,densification,0.393,0.939,0.9072,0.0318,0.034,0.16094117647058825,False
abundance_cirrhosis--stagediscovery,TabICL,densification,0.521,0.939,0.895,0.044,0.0042,0.04581818181818182,True
abundance_cirrhosis--stagediscovery,TabICL,densification,0.649,0.939,0.9042,0.0347,0.018,0.1157142857142857,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=1 / highest_abundance,0.939,0.9406,-0.0016,0.5679,0.8112857142857143,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=116 / highest_abundance,0.939,0.9311,0.0079,0.4968,0.7436507276507277,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=144 / highest_abundance,0.939,0.922,0.017,0.1867,0.42992971246006395,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=173 / highest_abundance,0.939,0.9216,0.0174,0.1926,0.43883544303797467,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=202 / highest_abundance,0.939,0.915,0.024,0.1113,0.32356626506024094,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=231 / highest_abundance,0.939,0.9134,0.0256,0.1482,0.38108571428571425,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=260 / highest_abundance,0.939,0.9007,0.0383,0.058,0.2245161290322581,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=29 / highest_abundance,0.939,0.9453,-0.0063,0.4031,0.6720552995391705,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=58 / highest_abundance,0.939,0.9389,0.0001,0.9895,0.9964195804195805,False
abundance_cirrhosis--stagediscovery,TabICL,remove_features,k=87 / highest_abundance,0.939,0.9354,0.0036,0.7448,0.8878410596026489,False
abundance_cirrhosis--stagediscovery,TabICL,sparsity,0.812,0.939,0.9425,-0.0036,0.5888,0.8232452830188679,False
abundance_cirrhosis--stagediscovery,TabICL,sparsity,0.848,0.939,0.9358,0.0032,0.7383,0.8856478405315616,False
abundance_cirrhosis--stagediscovery,TabICL,sparsity,0.883,0.939,0.932,0.007,0.5725,0.8114173228346456,False
abundance_cirrhosis--stagediscovery,TabICL,sparsity,0.919,0.939,0.919,0.02,0.2103,0.4673333333333333,False
abundance_cirrhosis--stagediscovery,TabICL,sparsity,0.954,0.939,0.9029,0.0361,0.0818,0.2699178082191781,False
abundance_cirrhosis--stagediscovery,TabPFN,densification,0.138,0.9249,0.8008,0.1242,0.0,0.0,True
abundance_cirrhosis--stagediscovery,TabPFN,densification,0.266,0.9249,0.8595,0.0654,0.0051,0.051000000000000004,False
abundance_cirrhosis--stagediscovery,TabPFN,densification,0.393,0.9249,0.8866,0.0383,0.0565,0.22108695652173913,False
abundance_cirrhosis--stagediscovery,TabPFN,densification,0.521,0.9249,0.8922,0.0327,0.0374,0.16935849056603774,False
abundance_cirrhosis--stagediscovery,TabPFN,densification,0.649,0.9249,0.922,0.0029,0.7973,0.9199615384615385,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=1 / highest_abundance,0.9249,0.9218,0.0032,0.3794,0.6463018867924528,False
abundance_cirrhosis--stagediscovery,TabPFN,remove_features,k=116 / highest_abundance,0.9249,0.9257,-0.0008,0.9563,0.9864412607449857,False
